name,CD,hausdorff,p2f avg,p2f std,uniform_0,uniform_1
m333.xyz,0.00027822674,0.002906152,0.0017453429,0.002525047,-,-
statue_dragon_aligned.xyz,0.0002872953,0.0027990874,0.0032264674,0.0046128444,-,-
camel.xyz,0.00019571677,0.0021150035,0.0018634493,0.0030821885,-,-
eight.xyz,0.00021793385,0.0017333895,0.0010663794,0.0010667227,-,-
cow.xyz,0.00017075459,0.0018974707,0.001702803,0.0023847425,-,-
genus3.xyz,0.00037542824,0.004501199,0.0017737988,0.0040549044,-,-
m355.xyz,0.00031674895,0.0030136127,0.0018506285,0.0022641066,-,-
m88.xyz,0.00020323656,0.0021683422,0.0013736812,0.0020709934,-,-
kitten.xyz,0.000246824,0.0022045237,0.0013057545,0.0016823261,-,-
elephant.xyz,0.00019174186,0.0021976226,0.0020407639,0.003912061,-,-
pig.xyz,0.00025243024,0.003004874,0.0012063506,0.002096582,-,-
elk.xyz,0.0003137599,0.0035599973,0.002343159,0.0038393543,-,-
horse.xyz,0.00014315675,0.001542219,0.0014269326,0.0021485954,-,-
Gramme_aligned.xyz,0.00033341386,0.003377899,0.0031928776,0.0048328023,-,-
statue_rome_aligned.xyz,0.00015108383,0.0016440141,0.0020699895,0.0030450537,-,-
13770_Tiger_V1.xyz,0.00010368458,0.0009204924,0.0010483474,0.001524901,-,-
coverrear_Lp.xyz,0.0003786306,0.0034394804,0.0020935147,0.004802129,-,-
m32.xyz,0.0001153669,0.0018505817,0.0011291933,0.001944733,-,-
m60.xyz,0.00011839716,0.0010642192,0.001359722,0.0023189082,-,-
casting.xyz,0.00061104284,0.004301594,0.006942339,0.009624103,-,-
duck.xyz,0.00036323557,0.0030636599,0.0015735806,0.0021889827,-,-
fandisk.xyz,0.00024206408,0.0026745196,0.0014815065,0.0030499578,-,-
star.xyz,0.0003931665,0.0036009534,0.001088942,0.00093737245,-,-
statue_ramesses_aligned.xyz,0.00016131453,0.0019842247,0.0021344926,0.00330383,-,-
chair.xyz,0.0002469634,0.0017814031,0.003499543,0.004363401,-,-
m329.xyz,0.0002572316,0.002589704,0.0013500226,0.0017742823,-,-
-,0.0002564941990455666,0.0025360091978934808,0.0019957533,0.0037007034,-,-
