name,CD,hausdorff,p2f avg,p2f std,uniform_0,uniform_1
m333.xyz,0.23324344,1.7822965,0.0017999327,0.002437063,-,-
statue_dragon_aligned.xyz,0.2643989,2.3776498,0.0032711318,0.0045255055,-,-
camel.xyz,0.4054222,44.140514,0.0018429807,0.002982846,-,-
eight.xyz,0.55957794,2.0030565,0.0011588968,0.0009927971,-,-
cow.xyz,0.21908918,2.1210446,0.0017480152,0.0022586656,-,-
genus3.xyz,0.29336485,1.8281126,0.0018132068,0.0040338337,-,-
m355.xyz,0.29834262,1.958004,0.0019355956,0.0021507624,-,-
m88.xyz,-0.064379066,1.8859279,0.0014230934,0.0019762742,-,-
kitten.xyz,0.44315368,132.63625,0.0013406023,0.001617822,-,-
elephant.xyz,0.17443967,13.488995,0.0020627514,0.0038178777,-,-
pig.xyz,0.36831996,125.69741,0.0012880652,0.002066291,-,-
elk.xyz,0.21271501,1.7734227,0.0023430684,0.0038211914,-,-
horse.xyz,0.19263203,1.6540341,0.001447001,0.001990299,-,-
11509_Panda_v4.xyz,0.4061584,308.5212,0.0018888514,0.002780085,-,-
Gramme_aligned.xyz,0.19175655,95.790985,0.003223912,0.0047098673,-,-
statue_rome_aligned.xyz,0.26484823,2.1963234,0.0021421164,0.0029985977,-,-
13770_Tiger_V1.xyz,0.37291428,89.32089,0.0010652938,0.0014396451,-,-
coverrear_Lp.xyz,0.82974094,89.50528,0.0020994707,0.0046860287,-,-
m32.xyz,0.10485169,1.6921725,0.0011936603,0.0019234798,-,-
m60.xyz,0.053231418,1.8853459,0.0014474867,0.002254692,-,-
casting.xyz,0.2330733,1.7762063,0.0071134306,0.009709215,-,-
duck.xyz,0.29536054,9.674242,0.0016267623,0.0021106014,-,-
fandisk.xyz,0.2105669,28.391693,0.0015017577,0.0028757304,-,-
star.xyz,0.4014699,1.9998102,0.0011554696,0.0009176227,-,-
statue_ramesses_aligned.xyz,0.20540033,2.439014,0.0022002794,0.0032024095,-,-
chair.xyz,0.3770718,2.1023157,0.0034893996,0.0043185367,-,-
m329.xyz,0.56205654,2.145648,0.0013713627,0.0016809292,-,-
-,0.30032671298141833,35.955105627024615,0.0020368,0.0036257529,-,-
