name,CD,hausdorff,p2f avg,p2f std,uniform_0,uniform_1
m333.xyz,0.22517951,1.7824727,0.0017336647,0.0025462322,-,-
statue_dragon_aligned.xyz,0.024627835,335.50626,0.0032244362,0.0046303463,-,-
camel.xyz,0.12466805,335.07034,0.0018441704,0.0030806812,-,-
eight.xyz,0.45341283,335.3819,0.0010914111,0.0010921836,-,-
cow.xyz,0.057737496,335.44632,0.0016663005,0.0023699808,-,-
genus3.xyz,0.29233646,1.8281126,0.0017580411,0.004064209,-,-
m355.xyz,0.2995215,1.9579036,0.0018036535,0.002239338,-,-
m88.xyz,-0.27409828,50.533985,0.0013559883,0.002055457,-,-
kitten.xyz,0.23431128,1.7288191,0.0013091647,0.001670888,-,-
elephant.xyz,0.18824145,1.9880213,0.0020540087,0.003944631,-,-
pig.xyz,0.1882959,1.251894,0.0012010877,0.0020955082,-,-
elk.xyz,0.20951867,1.7734227,0.0023876103,0.003835595,-,-
horse.xyz,0.2342715,1.6027607,0.0014201081,0.0020924467,-,-
11509_Panda_v4.xyz,0.62247473,2.1006408,0.0018543529,0.0028492552,-,-
Gramme_aligned.xyz,0.23633085,2.153357,0.0031908872,0.0048445,-,-
statue_rome_aligned.xyz,0.44633013,2.1959658,0.0021016952,0.0030668455,-,-
13770_Tiger_V1.xyz,0.2366619,1.7724638,0.0010450059,0.0015278171,-,-
coverrear_Lp.xyz,0.36776584,31.20021,0.0021045082,0.00475047,-,-
m32.xyz,-0.13855454,106.84422,0.001125297,0.0019446472,-,-
m60.xyz,0.05141612,1.885503,0.0013117769,0.0023225716,-,-
casting.xyz,0.2431171,1.7852002,0.0069496287,0.009553973,-,-
duck.xyz,0.31529155,1.9241467,0.0015764646,0.0021739588,-,-
fandisk.xyz,0.18142426,1.5991498,0.0014643583,0.0029767458,-,-
star.xyz,0.40128154,1.9950184,0.0010074526,0.0009116013,-,-
statue_ramesses_aligned.xyz,-0.07241092,349.86325,0.0021480937,0.0033454623,-,-
chair.xyz,0.22035038,98.12268,0.0035562054,0.0043212324,-,-
m329.xyz,0.5417331,6.628068,0.0014022754,0.0017964987,-,-
-,0.2189346753336765,74.66378096297935,0.0019884317,0.0036650542,-,-
